command,value,name
fmode,0,Ext
,1,Int
ref_slope,0,sine
,1,ttl-rise
,2,ttl-fall
in_config,0,A
,1,A-B
,2,I(1Meg)
,3,I(100Meg)
in_gnd,0,float
,1,ground
in_couple,0,ac
,1,dc
line_filter,0,out
,1,line-in
,2,2xline-in
,3,both-in
res_mode,0,high-reserve
,1,normal
,2,low-noise
tau,0,1.00E-05
,1,3.00E+07
,2,1.00E-04
,3,3.00E-04
,4,1.00E-03
,5,3.00E-03
,6,1.00E-02
,7,3.00E-02
,8,1.00E-01
,9,3.00E-01
,10,1.00E+00
,11,3.00E+00
,12,1.00E+01
,13,3.00E+01
,14,1.00E+02
,15,3.00E+02
,16,1.00E+03
,17,3.00E+03
,18,1.00E+04
,19,3.00E+04
filt_slope,0,6-db/oct
,1,12-db/oct
,2,18-db/oct
,3,24-db/oct
sync_filt,0,off
,1,on
sensitivity,0,2.00E-09
,1,5.00E-09
,2,1.00E-08
,3,2.00E-08
,4,5.00E-08
,5,1.00E-07
,6,2.00E-07
,7,5.00E-07
,8,1.00E-06
,9,2.00E-06
,10,5.00E-06
,11,1.00E-05
,12,2.00E-05
,13,5.00E-05
,14,1.00E-04
,15,2.00E-04
,16,5.00E-04
,17,1.00E-03
,18,2.00E-03
,19,5.00E-03
,20,1.00E-02
,21,2.00E-02
,22,5.00E-02
,23,1.00E-01
,24,2.00E-01
,25,5.00E-01
,26,1.00E+00
sample_rate,0,6.25E-02
,1,1.25E-01
,2,2.50E-01
,3,5.00E-01
,4,1.00E+00
,5,2.00E+00
,6,4.00E+00
,7,8.00E+00
,8,1.60E+01
,9,3.20E+01
,10,6.40E+01
,11,1.28E+02
,12,2.56E+02
,13,5.12E+02
,14,Trigger
ch1_disp,0,X
,1,R
,2,X Noise
,3,Aux In 1
,4,Aux In 2
scan_mode,0,one-shot
,1,loop